Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
28,29.0,3.0678975370163353,12,12.107744107744107,6.250209487612823,297,12.763754045307444,6.126624557492572,309,2.9722222222222223
29,32.333333333333336,3.2207919095724358,12,13.422950819672131,6.187283796472881,305,14.138801261829652,6.074987573624915,317,2.7777777777777777
30,35.666666666666664,0.7627963651028353,12,14.28888888888889,6.909997542321052,315,15.073394495412844,6.684412178019466,327,2.5454545454545454
31,39.416666666666664,0.0020918644006315988,12,15.117647058823529,6.107054550107253,323,15.988059701492537,5.888369319574478,335,2.4347826086956523
32,43.166666666666664,0.0,12,16.13030303030303,5.960615539267877,330,17.07894736842105,5.751471134381285,342,2.875
33,46.5,1.5087966096102416,12,17.2316715542522,5.817564079904881,341,18.226628895184135,5.6710903981951475,353,2.765957446808511
34,49.833333333333336,1.0595101769345583,12,18.389048991354468,5.734074481899666,347,19.440111420612812,5.57782163605125,359,3.0
35,53.166666666666664,1.3106578457995373,12,19.377094972067038,5.947946947378793,358,20.472972972972972,5.7975483819221685,370,3.3157894736842106
36,56.916666666666664,2.0493961699178906,12,20.160762942779293,5.646761187251353,367,21.3245382585752,5.532860447916257,379,2.7954545454545454
37,60.666666666666664,1.211916567689567,12,21.20212765957447,5.52509402834686,376,22.422680412371133,5.3916967872956025,388,2.92
38,59.46153846153846,1.5490648538802463,13,22.26233766233766,5.325721386090057,385,23.477386934673365,5.2023632581535555,398,3.0208333333333335
39,58.42857142857143,2.6244931759260917,14,23.544529262086513,4.991316054191482,393,24.744471744471745,4.909901999410854,407,3.185185185185185
40,61.714285714285715,2.8570347410990733,14,24.694235588972433,5.619904094332569,399,25.949152542372882,5.526247506087365,413,3.2972972972972974
41,64.92857142857143,2.9339368174903626,14,25.538083538083537,5.535909156214022,407,26.847980997624703,5.449382760151954,421,2.7222222222222223
42,68.14285714285714,1.603476466907932,14,26.479418886198548,5.593993118587836,413,27.84543325526932,5.463156507057348,427,3.0638297872340425
43,71.71428571428571,1.873060014951708,14,27.43971631205674,5.2890158551741635,423,28.85812356979405,5.179580198965664,437,3.240740740740741
44,75.28571428571429,1.7704151989426744,14,28.545243619489558,5.196997048739549,431,30.01573033707865,5.089194473689759,445,3.3962264150943398
45,78.85714285714286,2.3201468206455664,14,29.728310502283104,5.579782427712558,438,31.25,5.478820262891897,452,3.5625
46,82.42857142857143,2.7635525693797747,14,30.66591928251121,5.646520422872336,446,32.24130434782609,5.558777922983432,460,3.1320754716981134
47,86.21428571428571,0.7142577052236442,14,31.56762749445676,5.377777091459541,451,33.21290322580645,5.23737005617502,465,3.037037037037037
48,90.14285714285714,1.5150339760025864,14,32.64035087719298,5.1518182565018815,456,34.353191489361706,5.04348851197637,470,3.581818181818182
49,94.07142857142857,1.828903424275507,14,33.69462365591398,4.740311580024933,465,35.45929018789144,4.655218231005116,479,3.8214285714285716
50,98.0,1.4669404910579202,14,34.8172268907563,4.878673177284338,476,36.62244897959184,4.781195100535013,490,3.9215686274509802
