Step,Bus_Avg_Wait,Bus_Avg_Speed,Bus_Count,Other_Avg_Wait,Other_Avg_Speed,Other_Count,All_Avg_Wait,All_Avg_Speed,All_Count,Avg_Queue_Length
60,154.28571428571428,0.9682100275920572,14,94.66083916083916,2.4245013784404876,572,96.08532423208192,2.3897094349048595,586,10.08695652173913
61,158.92857142857142,0.0019419824036540569,14,96.89862542955326,2.3829058180842932,582,98.35570469798658,2.3269771373803856,596,10.0
62,152.66666666666666,0.5203791637625544,15,99.5,2.296652189018337,590,100.81818181818181,2.2526123619458795,605,9.795918367346939
63,157.0,0.8768450523143014,15,101.90984974958263,2.291041453265665,599,103.2557003257329,2.2564926812554527,614,9.959183673469388
64,161.33333333333334,0.8538681279995168,15,104.50906095551895,2.232775847331609,607,105.87942122186494,2.199522445739999,622,10.458333333333334
65,165.66666666666666,0.4895808829961136,15,106.93993506493507,2.2576029731079927,616,108.33597464342314,2.215573921837504,631,10.978260869565217
66,159.5625,1.0236553535853727,16,109.14376996805112,2.2639896398994663,626,110.40031152647975,2.2330778819850963,642,10.72340425531915
67,163.9375,2.4442794832363335,16,111.30974842767296,2.3329149977765504,636,112.60122699386503,2.3356478685853785,652,10.408163265306122
68,167.875,1.58745203023751,16,114.61971830985915,2.343048718557748,639,115.9206106870229,2.3245913948735897,655,10.395833333333334
69,172.0,0.916357917139807,16,116.91962905718702,2.32787732037805,647,118.24886877828054,2.29381350370865,663,10.375
70,176.0625,0.8741338345724317,16,119.36391437308869,2.3112549458640594,654,120.7179104477612,2.276935635743662,670,11.088888888888889
71,180.375,0.8355490356423111,16,121.62822458270107,2.191169752211664,659,123.02074074074073,2.1590365204115014,675,10.574468085106384
72,173.64705882352942,1.1623137170489162,17,123.41554559043348,2.2252979426617183,669,124.6603498542274,2.1989557679745206,686,9.764705882352942
73,177.47058823529412,1.5639984769936366,17,125.45777777777778,2.2395420561177626,675,126.73554913294798,2.2229463323531533,692,10.081632653061224
74,181.2941176470588,1.3850715552696953,17,126.59447674418605,2.124309980235637,688,127.91347517730496,2.1064843728251104,705,9.547169811320755
75,185.35294117647058,1.5022122931842699,17,128.33381088825215,2.156320605794896,698,129.6895104895105,2.1407683801803765,715,9.4
76,189.35294117647058,2.18358248252856,17,131.0184921763869,2.051441501231814,703,132.39583333333334,2.054561496623543,720,9.943396226415095
77,192.64705882352942,0.5666528358986748,17,133.0561797752809,2.040509014217693,712,134.44581618655693,2.006139254229458,729,10.074074074074074
78,196.58823529411765,0.0021813822271973585,17,135.10818307905686,1.9213160806566754,721,136.52439024390245,1.8771083708012541,738,9.859649122807017
79,200.7058823529412,2.0227789538111635e-05,17,138.22437673130193,1.809169919108939,722,139.6617050067659,1.767552131893202,739,10.263157894736842
80,204.8235294117647,1.0994371468129306e-05,17,141.0013774104683,1.7610831884046099,726,142.46164199192464,1.7207894773702042,743,10.818181818181818
81,208.94117647058823,0.0,17,143.22040816326532,1.899158106272923,735,144.70611702127658,1.8562250107853702,752,11.0
82,200.77777777777777,1.355169258250863,18,145.57873485868103,1.8679161507651902,743,146.88436268068332,1.8557881033732613,761,10.421052631578947
83,204.44444444444446,1.624670482553758,18,148.5,1.8071300169639608,748,149.81462140992167,1.8028424561031469,766,11.092592592592593
84,208.38888888888889,1.5233693153987684,18,151.041059602649,1.7428247205446885,755,152.3764553686934,1.737714504124732,773,11.351851851851851
85,212.55555555555554,0.9056179060800529,18,154.05789473684212,1.6417103723982172,760,155.41131105398458,1.6246799554396991,778,11.357142857142858
86,216.94444444444446,0.7148566335861738,18,157.3062827225131,1.6747186872837667,764,158.67902813299233,1.6526246758175815,782,11.851851851851851
87,221.66666666666666,0.7663982088189504,18,158.75581395348837,1.7530632409289781,774,160.18560606060606,1.73063903565375,792,11.654545454545454
88,226.38888888888889,0.7288655184054887,18,161.18846153846152,1.687669138752775,780,162.65914786967417,1.6660419894216332,798,11.678571428571429
89,231.11111111111111,0.7110775470711307,18,163.6590330788804,1.610824607556561,786,165.16915422885572,1.5906810166501706,804,11.875
90,235.83333333333334,0.747964493295747,18,165.89127686472818,1.640326790983108,791,167.44746600741655,1.6204720056204722,809,12.218181818181819
91,240.33333333333334,0.760628140525162,18,169.2358133669609,1.5898120676496248,793,170.81381011097412,1.5714084786382312,811,12.053571428571429
92,245.0,0.01680136636517236,18,172.08010012515643,1.5864153357959785,799,173.68665850673196,1.5518338774731455,817,11.929824561403509
93,246.47058823529412,0.06218467222433581,17,175.37982565379826,1.5876014281921387,803,176.85365853658536,1.5559769344708554,820,12.232142857142858
94,251.0,0.08304011758783907,17,177.77805178791616,1.5550294738763404,811,179.28140096618358,1.524807470184427,828,11.711864406779661
95,255.11764705882354,0.044222003542305904,17,180.40464547677263,1.5625524762363006,818,181.92574850299403,1.5316403588281595,835,12.981481481481481
96,259.6470588235294,0.0034508291158726013,17,183.0509090909091,1.5494415590939818,825,184.59738717339667,1.5182279695338534,842,12.927272727272728
97,264.3529411764706,0.0003441436134648824,17,185.93020457280386,1.4374560742542808,831,187.50235849056602,1.4086460473428493,848,12.719298245614034
98,240.68421052631578,0.7137348628793312,19,188.24521531100478,1.3721385025916963,836,189.41052631578947,1.357507310598088,855,13.125
99,244.57894736842104,1.0451343393289314,19,191.64761904761906,1.3136093945819185,840,192.81839348079163,1.3076710639069393,859,13.178571428571429
100,248.89473684210526,0.7083318044111514,19,193.8904593639576,1.2849408058226597,849,195.09447004608296,1.2723191802157259,868,13.087719298245615
101,253.6315789473684,0.6683127053924821,19,196.79649122807018,1.3688152447217719,855,198.0320366132723,1.353586928649396,874,13.157894736842104
102,258.36842105263156,0.7103148288139072,19,199.5609756097561,1.4039487401822468,861,200.83068181818183,1.3889725534595214,880,13.228070175438596
103,262.8421052631579,1.3962234884945015,19,201.95742232451093,1.3592672701957549,869,203.26013513513513,1.3600580000917868,888,13.298245614035087
104,267.05263157894734,0.7727849273495071,19,204.8377142857143,1.3655100045482127,875,206.1599552572707,1.3529129391491352,894,13.678571428571429
105,271.3157894736842,0.6889562130227879,19,207.0214932126697,1.3251978225920988,884,208.37430786267996,1.3118106790906408,903,13.220338983050848
106,275.7894736842105,0.5888224225900761,19,209.22844344904814,1.2416238145241179,893,210.61513157894737,1.228023785525492,912,13.183333333333334
107,280.2631578947368,0.018785520793607662,19,212.54849498327758,1.2636852614096323,897,213.95305676855895,1.237863105217815,916,13.081967213114755
108,285.0,1.3118871986085562e-05,19,215.21570796460176,1.3120283490214741,904,216.6522210184182,1.285020451542774,923,13.366666666666667
109,289.7368421052632,0.30541266965630814,19,217.6469298245614,1.2609639140429152,912,219.11815252416756,1.241462868239107,931,13.295081967213115
110,294.4736842105263,0.6686641780970815,19,220.56209150326796,1.2606946220358233,918,222.06083244397013,1.248689735765988,937,13.426229508196721
111,299.2105263157895,0.7209538332387609,19,223.2183783783784,1.271997275137444,925,224.7478813559322,1.2609063584043136,944,14.172413793103448
112,303.9,1.009403550088685,20,225.62700964630224,1.2717117693267361,933,227.26967471143757,1.2662068749041118,953,13.672131147540984
113,308.4,0.6472496815082021,20,229.27029914529913,1.244626971884255,936,230.92573221757323,1.2321295390311995,956,13.836065573770492
114,313.15,0.6602295188645366,20,233.00533049040513,1.1910328604374665,938,234.678496868476,1.1799513710518101,958,13.934426229508198
115,317.9,0.001902510141122102,20,235.68783068783068,1.1882833914582067,945,237.39170984455959,1.1636951866640706,965,14.065573770491802
116,322.65,5.415097662359062e-06,20,238.37289915966386,1.115250478215077,952,240.10699588477365,1.0923030489328254,972,14.245901639344263
117,327.4,0.0,20,241.25705329153604,1.115752819911363,957,243.02047082906859,1.0929124346521744,977,14.6
118,332.15,0.0,20,243.86915887850466,1.1000368244398377,963,245.66531027466937,1.077655607258966,983,14.360655737704919
119,336.9,0.1246042222122196,20,246.28836251287333,1.1088938196774831,971,248.117053481332,1.0890292465702125,991,14.475409836065573
120,341.7,0.0008504949166494977,20,249.45491803278688,1.1200958087408488,976,251.30722891566265,1.0976210032423706,996,14.783333333333333
121,346.7,0.0,20,252.36659877800406,1.0667855045488077,982,254.24950099800398,1.045492380705518,1002,15.203389830508474
122,319.72727272727275,0.3633281658640554,22,255.53799392097264,1.0423927665609787,987,256.93756194251733,1.0275866008371608,1009,15.033333333333333
123,324.5,0.624795035942572,22,258.68850806451616,1.0349224672349808,992,260.1163708086785,1.0260242389426408,1014,15.066666666666666
124,329.27272727272725,0.6279233845621771,22,261.57715430861725,1.0098102643346762,998,263.0372549019608,1.001573488496446,1020,15.183333333333334
125,334.04545454545456,0.012266981623846708,22,264.3695219123506,1.0045192173260016,1004,265.8635477582846,0.9832428535974952,1026,15.065573770491802
126,324.2608695652174,0.3383952611503277,23,266.98219584569733,1.0232676596946257,1011,268.2562862669246,1.0080335541177217,1034,15.383333333333333
127,329.04347826086956,0.5515328005820755,23,270.53550295857985,1.0008690004221916,1014,271.8331726133076,0.9909030094903475,1037,14.587301587301587
128,333.82608695652175,0.6952814669180661,23,273.53385672227677,0.961816259162781,1019,274.8646833013436,0.9559330535758055,1042,14.015151515151516
129,338.39130434782606,1.1386947853002778,23,276.5362035225049,1.049535727724718,1022,277.8976076555024,1.0514980801881035,1045,14.476190476190476
130,342.7826086956522,0.7452242859641592,23,279.2227626459144,0.9621079016441907,1028,280.6137012369172,0.9573616379328296,1051,14.34920634920635
131,347.2608695652174,0.5527735590646098,23,283.05058365758754,0.8975582788688492,1028,284.4557564224548,0.8900130376171865,1051,14.46031746031746
132,351.82608695652175,0.11875641324792881,23,285.12644787644786,0.9085037811501748,1036,286.5750708215297,0.8913515720267078,1059,14.380952380952381
133,356.39130434782606,0.02957949883399249,23,288.2769230769231,0.8863066370064888,1040,289.75070555032926,0.8677697374975826,1063,13.984615384615385
134,360.95652173913044,0.031589556282816726,23,291.111217641419,0.8077059637920722,1043,292.6181988742964,0.7909604878326791,1066,13.666666666666666
135,365.39130434782606,0.3004737177955698,23,293.0941960038059,0.8291074281569875,1051,294.64245810055866,0.8177865945086517,1074,12.732394366197184
136,369.9130434782609,0.5771688987956789,23,295.865275142315,0.8421515518883214,1054,297.44661095636025,0.8364926837164267,1077,13.014492753623188
137,374.3478260869565,0.634001076284489,23,297.7787193973635,0.8544720462749608,1062,299.40184331797235,0.8497984681092641,1085,13.537313432835822
138,378.3478260869565,0.057368634391342876,23,301.0582159624413,0.8024531685745024,1065,302.6920955882353,0.7867023006643805,1088,13.923076923076923
139,383.0869565217391,0.019192068230199484,23,303.52754435107374,0.8220071202359777,1071,305.20018281535647,0.8051289244442656,1094,13.924242424242424
140,387.7391304347826,0.0910484753128836,23,305.23191094619665,0.818938276238593,1078,306.9554950045413,0.8037325855743865,1101,13.926470588235293
141,392.5217391304348,0.005918642409306368,23,307.5640552995392,0.8601131851953265,1085,309.32761732851986,0.8423817100291908,1108,13.956521739130435
142,380.7916666666667,0.42346218243877415,24,309.9540018399264,0.828238225497134,1087,311.48424842484246,0.81949418856338,1111,14.712121212121213
143,384.9583333333333,0.9819072215617372,24,312.34460694698356,0.8030021299279325,1094,313.90339892665475,0.8068426685676563,1118,14.014285714285714
144,389.0833333333333,1.681630508532623,24,315.312101910828,0.7661772588332914,1099,316.88869100623333,0.7857417094056727,1123,14.761194029850746
145,392.6666666666667,1.119319705485511,24,318.2916666666667,0.7320229165040645,1104,319.8741134751773,0.7402632737164359,1128,15.136363636363637
146,380.36,1.3563686208451917,25,319.5408071748879,0.7716019375677526,1115,320.8745614035088,0.7844257683413808,1140,14.661764705882353
147,384.08,1.1663990909336595,25,323.0509838998211,0.8162372021748576,1118,324.38582677165357,0.8238960361372112,1143,14.940298507462687
148,388.4,0.7874604346849472,25,325.4088888888889,0.8788016204606457,1125,326.7782608695652,0.8768159425090001,1150,15.08955223880597
149,392.72,0.5869691878455014,25,327.8185840707965,0.871788359526494,1130,329.2233766233766,0.8656234423905417,1155,14.73913043478261
150,396.92,0.6622083527071311,25,330.83200707338636,0.8381728833087303,1131,332.2612456747405,0.8343674220067928,1156,14.840579710144928
151,401.04,0.5946859738585796,25,335.02296819787983,0.8296160063880043,1132,336.44943820224717,0.8245397308363744,1157,15.367647058823529
152,393.8333333333333,0.03214025045644348,24,338.1572934973638,0.8094230854434651,1138,339.3072289156627,0.7933690509859017,1162,15.611940298507463
153,398.5416666666667,0.30659084502781947,24,339.95727986050565,0.7735439778609409,1147,341.1579846285226,0.7639736318421577,1171,15.426470588235293
154,403.125,0.6271176882268151,24,342.3509532062392,0.7513055242327978,1154,343.5891341256367,0.7487753815637458,1178,15.529411764705882
155,407.5833333333333,0.5963549301446125,24,344.46127366609295,0.8032706180512426,1162,345.7386172006745,0.7990834540463867,1186,15.478260869565217
156,412.1666666666667,0.5823668875957515,24,346.71183533447686,0.7608524727495272,1166,348.03193277310925,0.7572527634691149,1190,15.647058823529411
157,416.75,0.54414943991871,24,350.59160958904107,0.7020514177994847,1168,351.9236577181208,0.6988721833455093,1192,15.735294117647058
